时间,次数,架号,检测值
2022-11-12 11:09:21.819994,103,2,3212756
2022-11-12 11:09:21.834955,99,1,3213033
2022-11-12 11:09:22.286782,16,3,3221880
2022-11-12 11:09:23.133583,104,2,3239023
2022-11-12 11:09:23.154528,100,1,3239446
2022-11-12 11:09:23.660215,17,3,3249593
2022-11-12 11:09:24.444179,105,2,3265287
2022-11-12 11:09:24.467120,101,1,3265708
2022-11-12 11:09:25.036641,18,3,3277140
2022-11-12 11:09:25.762755,106,2,3291548
2022-11-12 11:09:25.778714,102,1,3291967
2022-11-12 11:09:26.428028,19,3,3305013
2022-11-12 11:09:27.070360,107,2,3317815
2022-11-12 11:09:27.175088,103,1,3319996
2022-11-12 11:09:27.820412,20,3,3332880
2022-11-12 11:09:28.378962,108,2,3344085
2022-11-12 11:09:28.490672,104,1,3346255
2022-11-12 11:09:29.196838,21,3,3360430
2022-11-12 11:09:29.695545,109,2,3370353
2022-11-12 11:09:29.798276,105,1,3372526
2022-11-12 11:09:30.564287,1,4,3387812
2022-11-12 11:09:30.588225,22,3,3388130
2022-11-12 11:09:30.789702,2,4,3392131
2022-11-12 11:09:31.003147,110,2,3396616
2022-11-12 11:09:31.117850,106,1,3398838
2022-11-12 11:09:31.365207,3,4,3403827
2022-11-12 11:09:31.964653,23,3,3415670
2022-11-12 11:09:32.125234,4,4,3419033
2022-11-12 11:09:32.397526,111,2,3424481
2022-11-12 11:09:32.436425,107,1,3425246
2022-11-12 11:09:32.862319,24,3,3433770
2022-11-12 11:09:32.892242,5,4,3434410
2022-11-12 11:09:33.717100,112,2,3450900
2022-11-12 11:09:33.742035,108,1,3451462
2022-11-12 11:09:34.334497,25,3,3463223
2022-11-12 11:09:34.374394,6,4,3464024
2022-11-12 11:09:35.030689,113,2,3477156
2022-11-12 11:09:35.061610,109,1,3477749
2022-11-12 11:09:35.804679,26,3,3492679
2022-11-12 11:09:35.844575,7,4,3493482
2022-11-12 11:09:36.350262,114,2,3503572
2022-11-12 11:09:36.373203,110,1,3504004
2022-11-12 11:09:36.588644,8,4,3508373
2022-11-12 11:09:37.285833,27,3,3522300
2022-11-12 11:09:37.333709,9,4,3523261
2022-11-12 11:09:37.668838,115,2,3529826
2022-11-12 11:09:37.678812,111,1,3530251
2022-11-12 11:09:38.085756,10,4,3538304
2022-11-12 11:09:38.837803,11,4,3553364
2022-11-12 11:09:38.973451,116,2,3556083
2022-11-12 11:09:39.006367,112,1,3556668
2022-11-12 11:09:40.159371,28,3,3579784
2022-11-12 11:09:40.220213,12,4,3581066
2022-11-12 11:09:40.285045,117,2,3582347
2022-11-12 11:09:40.391767,113,1,3584522
2022-11-12 11:09:41.607610,118,2,3608777
2022-11-12 11:09:41.619579,13,4,3608939
2022-11-12 11:09:41.711341,114,1,3610954
2022-11-12 11:09:42.916212,119,2,3635051
2022-11-12 11:09:43.004982,14,4,3636814
2022-11-12 11:09:43.030915,115,1,3637221
2022-11-12 11:09:43.032911,29,3,3637132
2022-11-12 11:09:44.230798,120,2,3661340
2022-11-12 11:09:44.336524,116,1,3663518
2022-11-12 11:09:44.384400,15,4,3664391
2022-11-12 11:09:45.632161,121,2,3689408
2022-11-12 11:09:45.658094,117,1,3689974
2022-11-12 11:09:45.757833,16,4,3691975
2022-11-12 11:09:45.899465,30,3,3694864
2022-11-12 11:09:46.940761,122,2,3715713
2022-11-12 11:09:46.968728,118,1,3716281
2022-11-12 11:09:47.140243,17,4,3719729
2022-11-12 11:09:47.174155,31,3,3720212
2022-11-12 11:09:48.252355,123,2,3742031
2022-11-12 11:09:48.288263,119,1,3742636
2022-11-12 11:09:48.517666,18,4,3747332
2022-11-12 11:09:48.701190,32,3,3751023
2022-11-12 11:09:49.567939,124,2,3768356
2022-11-12 11:09:49.613820,120,1,3769119
2022-11-12 11:09:49.910052,19,4,3775260
2022-11-12 11:09:50.252162,33,3,3782157
2022-11-12 11:09:50.887512,125,2,3794841
2022-11-12 11:09:50.917435,121,1,3795436
2022-11-12 11:09:51.311412,20,4,3803190
2022-11-12 11:09:51.791168,34,3,3812979
