PID     	进程名                                     	工作目录的绝对路径
6208    	RstMwService.exe                        	C:\Windows\System32\DriverStore\FileRepository\iaahcic.inf_amd64_c52b34f1b30918c5\RstMwService.exe
6216    	Omron.Cxmw.Modules.AutoIP.AutoIPService.exe	C:\Windows\SysWOW64\Omron\autoip\Omron.Cxmw.Modules.AutoIP.AutoIPService.exe
6224    	Omron.Cxmw.Modules.Ppp.PppService.exe   	C:\Windows\SysWOW64\Omron\PppService\Omron.Cxmw.Modules.Ppp.PppService.exe
6232    	Omron.Cxmw.Modules.Serial.SerialService.exe	C:\Windows\SysWOW64\Omron\SerialService\Omron.Cxmw.Modules.Serial.SerialService.exe
6240    	sqlbrowser.exe                          	C:\Program Files (x86)\Microsoft SQL Server\90\Shared\sqlbrowser.exe
6304    	CdgTwin64.exe                           	C:\Program Files\EsafeNet\Cobra DocGuard Client\CdgTwin64.exe
6312    	CdgTwin32.exe                           	C:\Program Files\EsafeNet\Cobra DocGuard Client\CdgTwin32.exe
6436    	FileExtensionCop.exe                    	D:\Schneider Electric\SoMachine Software\Tools\Launcher\FileExtensionCop.exe
6452    	ServiceHub.IdentityHost.exe             	D:\Microsoft Visual Studio\2022\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.netfx.x86\ServiceHub.IdentityHost.exe
6464    	SunloginClient.exe                      	D:\SunLogin\SunloginClient\SunloginClient.exe
6540    	svchost.exe                             	C:\Windows\System32\svchost.exe
6580    	lktsrv.exe                              	C:\Windows\SysWOW64\lktsrv.exe
6588    	lkcitdl.exe                             	C:\Windows\SysWOW64\lkcitdl.exe
6752    	ModbusDrvSys.exe                        	C:\Windows\System32\ModbusDrvSys.exe
6784    	conhost.exe                             	C:\Windows\System32\conhost.exe
6952    	nimdnsResponder.exe                     	D:\Multisim\Shared\mDNS Responder\nimdnsResponder.exe
6980    	nidmsrv.exe                             	D:\Multisim\Shared\Security\nidmsrv.exe
7028    	WmiPrvSE.exe                            	C:\Windows\System32\wbem\WmiPrvSE.exe
7084    	WmiPrvSE.exe                            	C:\Windows\SysWOW64\wbem\WmiPrvSE.exe
